route_id,total_shipments,delivered_shipments,on_time_shipments,delayed_deliveries,delivery_rate_pct,on_time_delivery_rate_pct,avg_package_weight_kg,total_freight_amount_inr
R023,1091,829,818,11,75.99,98.67,7.55,1730863.26
R022,1066,842,774,68,78.99,91.92,7.16,951873.54
R027,1058,827,0,827,78.17,0.00,7.45,683364.38
R039,1056,822,612,210,77.84,74.45,7.39,1201898.93
R097,1051,807,522,285,76.78,64.68,7.28,2142762.65
R011,1049,836,833,3,79.69,99.64,7,1390480.2
R069,1049,821,558,263,78.27,67.97,7.47,2239482.09
R059,1047,822,753,69,78.51,91.61,6.87,1462578.43
R013,1047,790,763,27,75.45,96.58,7.35,646411.38
R072,1045,816,657,159,78.09,80.51,7.49,650905.89
R098,1045,820,709,111,78.47,86.46,7.38,1977857.4
R018,1039,821,441,380,79.02,53.71,7.23,1511705.72
R057,1038,807,713,94,77.75,88.35,7.23,1317895.61
R090,1031,813,686,127,78.86,84.38,7.33,1350469.38
R065,1031,829,718,111,80.41,86.61,7.11,1123962.93
R058,1029,797,753,44,77.45,94.48,7.2,770447.39
R084,1029,781,426,355,75.90,54.55,7.27,2069887.66
R021,1029,783,540,243,76.09,68.97,7.25,1262606.73
R049,1028,806,686,120,78.40,85.11,7.08,1408865.26
R060,1026,814,0,814,79.34,0.00,7.08,1691904.53
