metric_date,total_shipments,delivered_shipments,on_time_shipments,delayed_deliveries,delivery_rate_pct,on_time_delivery_rate_pct,avg_delivery_hours,total_freight_amount_inr
2026-01-01,580,445,335,110,76.72,75.28,32.98,749574.53
2026-01-02,570,435,333,102,76.32,76.55,33.31,724144.29
2026-01-03,485,372,278,94,76.70,74.73,31.93,609701.01
2026-01-04,566,440,320,120,77.74,72.73,33.02,755079.24
2026-01-05,560,431,332,99,76.96,77.03,31.29,728402.02
2026-01-06,528,410,283,127,77.65,69.02,32.18,688341.65
2026-01-07,518,426,316,110,82.24,74.18,33.20,671927.88
2026-01-08,589,452,321,131,76.74,71.02,32.06,753166.57
2026-01-09,526,407,313,94,77.38,76.90,32.10,684909
2026-01-10,538,420,307,113,78.07,73.10,32.40,708447.54
2026-01-11,560,429,301,128,76.61,70.16,33.57,727006.57
2026-01-12,527,407,327,80,77.23,80.34,32.16,676936.35
2026-01-13,540,430,310,120,79.63,72.09,31.94,706989.35
2026-01-14,563,434,337,97,77.09,77.65,32.02,722743.82
2026-01-15,584,454,351,103,77.74,77.31,32.29,727950.84
2026-01-16,553,448,361,87,81.01,80.58,30.70,707764.49
2026-01-17,582,463,365,98,79.55,78.83,31.60,749419.55
2026-01-18,574,463,338,125,80.66,73.00,32.22,733247.7
2026-01-19,564,425,329,96,75.35,77.41,32.51,713380.24
2026-01-20,550,436,342,94,79.27,78.44,32.04,700776.43
